,Feature,Importance
2,st_teff,0.11831806783844037
11,log_lbol,0.09446649121349607
4,st_vmag,0.08774831368905374
3,st_lbol,0.08640590750472806
1,st_rad,0.08293332457751335
7,st_age,0.08037217404374472
8,st_pmra,0.079271709553614
5,st_dist,0.07788738290979967
6,st_logg,0.07697142164135647
0,st_mass,0.0755185314662616
9,st_pmdec,0.07155181023113905
10,mass_radius_ratio,0.06855486533085298
